Timestamp;gLeftWheelTicks;gRightWheelTicks;gTheta_hat;gX_hat;gY_hat
367377000;0;0;2.041210E+000;146;189
367403000;0;0;2.041210E+000;146;189
367429000;0;0;2.041219E+000;146;189
367452000;0;0;2.041219E+000;146;189
367476000;0;0;2.041207E+000;146;189
367500000;0;0;2.041208E+000;146;189
367523000;0;0;2.041208E+000;146;189
367548000;0;0;2.041203E+000;146;189
367572000;0;0;2.041203E+000;146;189
367594000;0;0;2.041198E+000;146;189
367620000;0;0;2.041194E+000;146;189
367644000;0;0;2.041194E+000;146;189
367669000;0;0;2.041198E+000;146;189
367692000;0;0;2.041198E+000;146;189
367714000;0;0;2.041198E+000;146;189
367738000;0;0;2.041198E+000;146;189
367762000;0;0;2.041199E+000;146;189
367785000;0;0;2.041198E+000;146;189
367811000;0;0;2.041198E+000;146;189
367834000;0;0;2.041185E+000;146;189
367858000;0;0;2.041185E+000;146;189
367884000;0;0;2.041186E+000;146;189
367909000;0;0;2.041187E+000;146;189
367931000;0;0;2.041187E+000;146;189
367955000;0;0;2.041183E+000;146;189
367978000;0;0;2.041183E+000;146;189
368005000;0;0;2.041184E+000;146;189
368031000;0;0;2.041185E+000;146;189
368055000;0;0;2.041185E+000;146;189
368078000;0;0;2.041188E+000;146;189
368102000;0;0;2.041184E+000;146;189
368125000;0;0;2.041184E+000;146;189
368151000;0;0;2.041177E+000;146;189
368175000;0;0;2.041177E+000;146;189
368198000;0;0;2.041175E+000;146;189
368221000;0;0;2.041175E+000;146;189
368246000;0;0;2.041168E+000;146;189
368271000;0;0;2.041174E+000;146;189
368295000;0;0;2.041174E+000;146;189
368318000;0;0;2.041162E+000;146;189
368342000;0;0;2.041162E+000;146;189
368368000;0;0;2.041170E+000;146;189
368393000;0;0;2.041166E+000;146;189
368415000;0;0;2.041166E+000;146;189
368440000;0;0;2.041169E+000;146;189
368464000;0;0;2.041169E+000;146;189
368487000;0;0;2.041170E+000;146;189
368513000;0;0;2.041169E+000;146;189
368537000;0;0;2.041169E+000;146;189
368560000;0;0;2.041162E+000;146;189
368584000;0;0;2.041162E+000;146;189
368611000;0;0;2.041165E+000;146;189
368636000;0;0;2.041158E+000;146;189
368658000;0;0;2.041158E+000;146;189
368680000;0;0;2.041156E+000;146;189
368704000;0;0;2.041156E+000;146;189
368728000;0;0;2.041152E+000;146;189
368752000;0;0;2.041153E+000;146;189
368775000;0;0;2.041153E+000;146;189
368799000;0;0;2.041162E+000;146;189
368822000;0;0;2.041162E+000;146;189
368845000;0;0;2.041162E+000;146;189
368869000;0;0;2.041145E+000;146;189
368895000;0;0;2.041145E+000;146;189
368920000;0;0;2.041154E+000;146;189
368944000;0;0;2.041154E+000;146;189
368967000;0;0;2.041152E+000;146;189
368991000;0;0;2.041150E+000;146;189
369019000;0;0;2.041150E+000;146;189
369042000;0;0;2.041157E+000;146;189
369066000;0;0;2.041157E+000;146;189
369089000;0;0;2.041163E+000;146;189
369113000;0;0;2.041150E+000;146;189
